VC,Vendor,Source
64796,HITCHINER MFG,PRL
6559,F&B MANUFACTURING CO.,PRL
700057,PRATT SOUTH EAST ASIA(PROD.),PRL
700057,SOUTH PRATT & WHITNEY AERO-ENGINE,PRL
704982,GROUPE MELOCHE INC.,PRL
712018,EDCO ENGINEERING,PRL
717021,MAGELLAN AEROSPACE (TUMKUR),PRL
717930,Cross,PRL
719087,MBFZ-TOOLCRAFT GMBH,PRL
719169,Titan,PRL
719169,TITAN ENGINEERING & AUTOMATION,PRL
719295,AIRTOMIC,PRL
720449,"HI-TECH MOLD & TOOL, INC.",PRL
720449,SAINT-GOBAIN PERFORMANCE PLASTICS C,PRL
720454,THONI ALUTEK,PRL
720849,REXNORD INDUSTRIES LLC,PRL
723137,Hanwha (Vietnam),PRL
723137,HANWHA AEROSPACE,PRL
723137,HANWHA AEROSPACE CO. LTD.,PRL
723993,CONSOLIDATED PRECISION PRODUCTS,PRL
726036,FOKKER ELMO ELECTRICAL,PRL
726241,ELLWOOD TEXAS FORGE L.P.,PRL
726332,KHI,PRL
727130,SENIOR AEROSPACE (THAILAND) LIMITED,PRL
8547,Ventana,PRL
8554,SAINT-GOBAIN HYCOMP LLC,PRL
A,Campus 1,PRL
Campus 1,Campus 1,PRL
CAMPUS1,Campus 1,PRL
10503,BARNES AEROSPACE-LANSING DIVISION,QNLI
11015,PARADIGM ORILLIA TECHNOLOGY INC.,QNLI
11550,"KAYDON RING & SEAL, INC.",QNLI
12075,LEESTA INDUSTRIES LIMITED,QNLI
12138,MAGELLAN AEROSPACE HALEY,QNLI
1228,FREUDENBERG-NOK INC,QNLI
12510,ATI LADISH LLC,QNLI
12544,CHARLES E. LARSON AND SONS INC,QNLI
12580,THE LEE COMPANY TECHNICAL CENTER,QNLI
13,INTEGRALLY BLADED ROTORS (IBR) PLT,QNLI
13403,MITCHELL AEROSPACE INC.,QNLI
13469,MESOTEC INC.,QNLI
13529,MEYER TOOL INC.,QNLI
13558,"HOWMET CORPORATION, WHITEHALL-MISCO",QNLI
13600,"FIRTH RIXSON INC., ROCHESTER",QNLI
13606,"FRANK MURKEN PRODUCTS, INC.",QNLI
13633,MERIDEN MFG INC,QNLI
13660,MILLER CASTINGS,QNLI
14,FAN INTEGRALLY BLADED ROTORS(IBR) P,QNLI
14504,MCWILLIAMS FORGE CO INC,QNLI
15,IMPELLER - SHAFT PLT 2,QNLI
15165,NETUR INC,QNLI
15518,NORWICH AERO PRODUCTS INC,QNLI
15546,VITAL ENGINEERED COMPONENTS COMPANY,QNLI
15618,NICHOLSONS SEALING TECHNOLOGIES LTD,QNLI
16,BLADES PLT 1,QNLI
16501,DRT AEROSPACE LLC,QNLI
1659,PCC STRUCTURALS -,QNLI
16713,PRATT & WHITNEY GEORGIA,QNLI
16948,PRATT & WHITNEY KALISZ SP Z O O,QNLI
16948,PRATT & WHITNEY KALISZ SP. Z.O.O.,QNLI
17150,PRECI-SPARK LTD,QNLI
17233,PRATT & WHITNEY RZESZOW S.A.,QNLI
17524,PALL AEROPOWER CORPORATION,QNLI
17526,PRATT & WHITNEY,QNLI
17600,PROJECTS INC,QNLI
1779,BOEING DISTRIBUTION SERVICES INC.,QNLI
18,IMPELLERS FINISHING PLT 2,QNLI
18105,QUELOZ & ASSOCIES INC.,QNLI
1895,SKF AEROENGINE FRANCE VALENCIENNES,QNLI
19,ASSEMBLY & TEST PLANT 1,QNLI
19543,"HOWMET CORP. ,  WHITEHALL-BENSTON",QNLI
19573,RECCO PRODUCTS INC.,QNLI
